"ICD10_code";"ICD10_code_dot";"diagnosis";"code_description"
"D67";"D67";"Hereditary factor IX deficiency";"D67 Hereditary factor IX deficiency"
"D68";"D68";"Other coagulation defects";"D68 Other coagulation defects"
"D69";"D69";"Purpura and other hemorrhagic conditions";"D69 Purpura and other hemorrhagic conditions"
"D70";"D70";"Neutropenia";"D70 Neutropenia"
"D71";"D71";"Functional disorders of polymorphonuclear neutrophils";"D71 Functional disorders of polymorphonuclear neutrophils"
"D72";"D72";"Other disorders of white blood cells";"D72 Other disorders of white blood cells"
"D73";"D73";"Diseases of spleen";"D73 Diseases of spleen"
"D74";"D74";"Methemoglobinemia";"D74 Methemoglobinemia"
"D75";"D75";"Other and unsp diseases of blood and blood-forming organs";"D75 Other and unsp diseases of blood and blood-forming organs"
"D76";"D76";"Oth dis with lymphoreticular and reticulohistiocytic tissue";"D76 Oth dis with lymphoreticular and reticulohistiocytic tissue"
"D77";"D77";"Oth disord of bld/bld-frm organs in diseases classd elswhr";"D77 Oth disord of bld/bld-frm organs in diseases classd elswhr"
"D78";"D78";"Intraop and postprocedural complications of the spleen";"D78 Intraop and postprocedural complications of the spleen"
"D80";"D80";"Immunodeficiency with predominantly antibody defects";"D80 Immunodeficiency with predominantly antibody defects"
"D81";"D81";"Combined immunodeficiencies";"D81 Combined immunodeficiencies"
"D82";"D82";"Immunodeficiency associated with other major defects";"D82 Immunodeficiency associated with other major defects"
"D83";"D83";"Common variable immunodeficiency";"D83 Common variable immunodeficiency"
"D84";"D84";"Other immunodeficiencies";"D84 Other immunodeficiencies"
"D86";"D86";"Sarcoidosis";"D86 Sarcoidosis"
"D89";"D89";"Oth disorders involving the immune mechanism, NEC";"D89 Oth disorders involving the immune mechanism, NEC"
"E00";"E00";"Congenital iodine-deficiency syndrome";"E00 Congenital iodine-deficiency syndrome"
"E01";"E01";"Iodine-deficiency related thyroid disorders and allied cond";"E01 Iodine-deficiency related thyroid disorders and allied cond"
"E02";"E02";"Subclinical iodine-deficiency hypothyroidism";"E02 Subclinical iodine-deficiency hypothyroidism"
"E03";"E03";"Other hypothyroidism";"E03 Other hypothyroidism"
"E04";"E04";"Other nontoxic goiter";"E04 Other nontoxic goiter"
"E05";"E05";"Thyrotoxicosis [hyperthyroidism]";"E05 Thyrotoxicosis [hyperthyroidism]"
"E06";"E06";"Thyroiditis";"E06 Thyroiditis"
"E07";"E07";"Other disorders of thyroid";"E07 Other disorders of thyroid"
"E08";"E08";"Diabetes mellitus due to underlying condition";"E08 Diabetes mellitus due to underlying condition"
"E09";"E09";"Drug or chemical induced diabetes mellitus";"E09 Drug or chemical induced diabetes mellitus"
"E10";"E10";"Type 1 diabetes mellitus";"E10 Type 1 diabetes mellitus"
"E11";"E11";"Type 2 diabetes mellitus";"E11 Type 2 diabetes mellitus"
"E13";"E13";"Other specified diabetes mellitus";"E13 Other specified diabetes mellitus"
"E15";"E15";"Nondiabetic hypoglycemic coma";"E15 Nondiabetic hypoglycemic coma"
"E16";"E16";"Other disorders of pancreatic internal secretion";"E16 Other disorders of pancreatic internal secretion"
"E20";"E20";"Hypoparathyroidism";"E20 Hypoparathyroidism"
"E21";"E21";"Hyperparathyroidism and other disorders of parathyroid gland";"E21 Hyperparathyroidism and other disorders of parathyroid gland"
"E22";"E22";"Hyperfunction of pituitary gland";"E22 Hyperfunction of pituitary gland"
"E23";"E23";"Hypofunction and other disorders of the pituitary gland";"E23 Hypofunction and other disorders of the pituitary gland"
"E24";"E24";"Cushing's syndrome";"E24 Cushing's syndrome"
"E25";"E25";"Adrenogenital disorders";"E25 Adrenogenital disorders"
"E26";"E26";"Hyperaldosteronism";"E26 Hyperaldosteronism"
"E27";"E27";"Other disorders of adrenal gland";"E27 Other disorders of adrenal gland"
"E28";"E28";"Ovarian dysfunction";"E28 Ovarian dysfunction"
"E29";"E29";"Testicular dysfunction";"E29 Testicular dysfunction"
"E30";"E30";"Disorders of puberty, not elsewhere classified";"E30 Disorders of puberty, not elsewhere classified"
"E31";"E31";"Polyglandular dysfunction";"E31 Polyglandular dysfunction"
"E32";"E32";"Diseases of thymus";"E32 Diseases of thymus"
"E34";"E34";"Other endocrine disorders";"E34 Other endocrine disorders"
"E35";"E35";"Disorders of endocrine glands in diseases classd elswhr";"E35 Disorders of endocrine glands in diseases classd elswhr"
"E36";"E36";"Intraoperative complications of endocrine system";"E36 Intraoperative complications of endocrine system"
"E40";"E40";"Kwashiorkor";"E40 Kwashiorkor"
"E41";"E41";"Nutritional marasmus";"E41 Nutritional marasmus"
"E42";"E42";"Marasmic kwashiorkor";"E42 Marasmic kwashiorkor"
"E43";"E43";"Unspecified severe protein-calorie malnutrition";"E43 Unspecified severe protein-calorie malnutrition"
"E44";"E44";"Protein-calorie malnutrition of moderate and mild degree";"E44 Protein-calorie malnutrition of moderate and mild degree"
"E45";"E45";"Retarded development following protein-calorie malnutrition";"E45 Retarded development following protein-calorie malnutrition"
"E46";"E46";"Unspecified protein-calorie malnutrition";"E46 Unspecified protein-calorie malnutrition"
"E50";"E50";"Vitamin A deficiency";"E50 Vitamin A deficiency"
"E51";"E51";"Thiamine deficiency";"E51 Thiamine deficiency"
"E52";"E52";"Niacin deficiency [pellagra]";"E52 Niacin deficiency [pellagra]"
"E53";"E53";"Deficiency of other B group vitamins";"E53 Deficiency of other B group vitamins"
"E54";"E54";"Ascorbic acid deficiency";"E54 Ascorbic acid deficiency"
"E55";"E55";"Vitamin D deficiency";"E55 Vitamin D deficiency"
"E56";"E56";"Other vitamin deficiencies";"E56 Other vitamin deficiencies"
"E58";"E58";"Dietary calcium deficiency";"E58 Dietary calcium deficiency"
"E59";"E59";"Dietary selenium deficiency";"E59 Dietary selenium deficiency"
"E60";"E60";"Dietary zinc deficiency";"E60 Dietary zinc deficiency"
"E61";"E61";"Deficiency of other nutrient elements";"E61 Deficiency of other nutrient elements"
"E63";"E63";"Other nutritional deficiencies";"E63 Other nutritional deficiencies"
"E64";"E64";"Sequelae of malnutrition and other nutritional deficiencies";"E64 Sequelae of malnutrition and other nutritional deficiencies"
"E65";"E65";"Localized adiposity";"E65 Localized adiposity"
"E66";"E66";"Overweight and obesity";"E66 Overweight and obesity"
"E67";"E67";"Other hyperalimentation";"E67 Other hyperalimentation"
"E68";"E68";"Sequelae of hyperalimentation";"E68 Sequelae of hyperalimentation"
"E70";"E70";"Disorders of aromatic amino-acid metabolism";"E70 Disorders of aromatic amino-acid metabolism"
"E71";"E71";"Disord of branched-chain amino-acid metab & fatty-acid metab";"E71 Disord of branched-chain amino-acid metab & fatty-acid metab"
"E72";"E72";"Other disorders of amino-acid metabolism";"E72 Other disorders of amino-acid metabolism"
"E73";"E73";"Lactose intolerance";"E73 Lactose intolerance"
"E74";"E74";"Other disorders of carbohydrate metabolism";"E74 Other disorders of carbohydrate metabolism"
"E75";"E75";"Disord of sphingolipid metab and oth lipid storage disorders";"E75 Disord of sphingolipid metab and oth lipid storage disorders"
"E76";"E76";"Disorders of glycosaminoglycan metabolism";"E76 Disorders of glycosaminoglycan metabolism"
"E77";"E77";"Disorders of glycoprotein metabolism";"E77 Disorders of glycoprotein metabolism"
"E78";"E78";"Disorders of lipoprotein metabolism and other lipidemias";"E78 Disorders of lipoprotein metabolism and other lipidemias"
"E79";"E79";"Disorders of purine and pyrimidine metabolism";"E79 Disorders of purine and pyrimidine metabolism"
"E80";"E80";"Disorders of porphyrin and bilirubin metabolism";"E80 Disorders of porphyrin and bilirubin metabolism"
"E83";"E83";"Disorders of mineral metabolism";"E83 Disorders of mineral metabolism"
"E84";"E84";"Cystic fibrosis";"E84 Cystic fibrosis"
"E85";"E85";"Amyloidosis";"E85 Amyloidosis"
"E86";"E86";"Volume depletion";"E86 Volume depletion"
"E87";"E87";"Other disorders of fluid, electrolyte and acid-base balance";"E87 Other disorders of fluid, electrolyte and acid-base balance"
"E88";"E88";"Other and unspecified metabolic disorders";"E88 Other and unspecified metabolic disorders"
"E89";"E89";"Postproc endocrine and metabolic comp and disorders, NEC";"E89 Postproc endocrine and metabolic comp and disorders, NEC"
"F01";"F01";"Vascular dementia";"F01 Vascular dementia"
"F02";"F02";"Dementia in other diseases classified elsewhere";"F02 Dementia in other diseases classified elsewhere"
"F03";"F03";"Unspecified dementia";"F03 Unspecified dementia"
"F04";"F04";"Amnestic disorder due to known physiological condition";"F04 Amnestic disorder due to known physiological condition"
"F05";"F05";"Delirium due to known physiological condition";"F05 Delirium due to known physiological condition"
"F06";"F06";"Other mental disorders due to known physiological condition";"F06 Other mental disorders due to known physiological condition"
"F07";"F07";"Personality & behavrl disorders due to known physiol cond";"F07 Personality & behavrl disorders due to known physiol cond"
"F09";"F09";"Unsp mental disorder due to known physiological condition";"F09 Unsp mental disorder due to known physiological condition"
"F10";"F10";"Alcohol related disorders";"F10 Alcohol related disorders"
"F11";"F11";"Opioid related disorders";"F11 Opioid related disorders"
"F12";"F12";"Cannabis related disorders";"F12 Cannabis related disorders"
"F13";"F13";"Sedative, hypnotic, or anxiolytic related disorders";"F13 Sedative, hypnotic, or anxiolytic related disorders"
"F14";"F14";"Cocaine related disorders";"F14 Cocaine related disorders"
"F15";"F15";"Other stimulant related disorders";"F15 Other stimulant related disorders"
"F16";"F16";"Hallucinogen related disorders";"F16 Hallucinogen related disorders"
"F17";"F17";"Nicotine dependence";"F17 Nicotine dependence"
"F18";"F18";"Inhalant related disorders";"F18 Inhalant related disorders"
"F19";"F19";"Other psychoactive substance related disorders";"F19 Other psychoactive substance related disorders"
"F20";"F20";"Schizophrenia";"F20 Schizophrenia"
"F21";"F21";"Schizotypal disorder";"F21 Schizotypal disorder"
"F22";"F22";"Delusional disorders";"F22 Delusional disorders"
"F23";"F23";"Brief psychotic disorder";"F23 Brief psychotic disorder"
"F24";"F24";"Shared psychotic disorder";"F24 Shared psychotic disorder"
"F25";"F25";"Schizoaffective disorders";"F25 Schizoaffective disorders"
"F28";"F28";"Oth psych disorder not due to a sub or known physiol cond";"F28 Oth psych disorder not due to a sub or known physiol cond"
"F29";"F29";"Unsp psychosis not due to a substance or known physiol cond";"F29 Unsp psychosis not due to a substance or known physiol cond"
"F30";"F30";"Manic episode";"F30 Manic episode"
"F31";"F31";"Bipolar disorder";"F31 Bipolar disorder"
"F32";"F32";"Major depressive disorder, single episode";"F32 Major depressive disorder, single episode"
"F33";"F33";"Major depressive disorder, recurrent";"F33 Major depressive disorder, recurrent"
"F34";"F34";"Persistent mood [affective] disorders";"F34 Persistent mood [affective] disorders"
"F39";"F39";"Unspecified mood [affective] disorder";"F39 Unspecified mood [affective] disorder"
"F40";"F40";"Phobic anxiety disorders";"F40 Phobic anxiety disorders"
"F41";"F41";"Other anxiety disorders";"F41 Other anxiety disorders"
"F42";"F42";"Obsessive-compulsive disorder";"F42 Obsessive-compulsive disorder"
"F43";"F43";"Reaction to severe stress, and adjustment disorders";"F43 Reaction to severe stress, and adjustment disorders"
"F44";"F44";"Dissociative and conversion disorders";"F44 Dissociative and conversion disorders"
"F45";"F45";"Somatoform disorders";"F45 Somatoform disorders"
"F48";"F48";"Other nonpsychotic mental disorders";"F48 Other nonpsychotic mental disorders"
"F50";"F50";"Eating disorders";"F50 Eating disorders"
"F51";"F51";"Sleep disorders not due to a substance or known physiol cond";"F51 Sleep disorders not due to a substance or known physiol cond"
"F52";"F52";"Sexual dysfnct not due to a substance or known physiol cond";"F52 Sexual dysfnct not due to a substance or known physiol cond"
"F53";"F53";"Mental and behavrl disorders assoc with the puerperium, NEC";"F53 Mental and behavrl disorders assoc with the puerperium, NEC"
"F54";"F54";"Psych & behavrl factors assoc w disord or dis classd elswhr";"F54 Psych & behavrl factors assoc w disord or dis classd elswhr"
"F55";"F55";"Abuse of non-psychoactive substances";"F55 Abuse of non-psychoactive substances"
"F59";"F59";"Unsp behavrl synd assoc w physiol disturb and physcl factors";"F59 Unsp behavrl synd assoc w physiol disturb and physcl factors"
"F60";"F60";"Specific personality disorders";"F60 Specific personality disorders"
"F63";"F63";"Impulse disorders";"F63 Impulse disorders"
"F64";"F64";"Gender identity disorders";"F64 Gender identity disorders"
"F65";"F65";"Paraphilias";"F65 Paraphilias"
"F66";"F66";"Other sexual disorders";"F66 Other sexual disorders"
"F68";"F68";"Other disorders of adult personality and behavior";"F68 Other disorders of adult personality and behavior"
"F69";"F69";"Unspecified disorder of adult personality and behavior";"F69 Unspecified disorder of adult personality and behavior"
"F70";"F70";"Mild intellectual disabilities";"F70 Mild intellectual disabilities"
"F71";"F71";"Moderate intellectual disabilities";"F71 Moderate intellectual disabilities"
"F72";"F72";"Severe intellectual disabilities";"F72 Severe intellectual disabilities"
"F73";"F73";"Profound intellectual disabilities";"F73 Profound intellectual disabilities"
"F78";"F78";"Other intellectual disabilities";"F78 Other intellectual disabilities"
"F79";"F79";"Unspecified intellectual disabilities";"F79 Unspecified intellectual disabilities"
"F80";"F80";"Specific developmental disorders of speech and language";"F80 Specific developmental disorders of speech and language"
"F81";"F81";"Specific developmental disorders of scholastic skills";"F81 Specific developmental disorders of scholastic skills"
"F82";"F82";"Specific developmental disorder of motor function";"F82 Specific developmental disorder of motor function"
"F84";"F84";"Pervasive developmental disorders";"F84 Pervasive developmental disorders"
"F88";"F88";"Other disorders of psychological development";"F88 Other disorders of psychological development"
"F89";"F89";"Unspecified disorder of psychological development";"F89 Unspecified disorder of psychological development"
"F90";"F90";"Attention-deficit hyperactivity disorders";"F90 Attention-deficit hyperactivity disorders"
"F91";"F91";"Conduct disorders";"F91 Conduct disorders"
"F93";"F93";"Emotional disorders with onset specific to childhood";"F93 Emotional disorders with onset specific to childhood"
"F94";"F94";"Disord social w onset specific to childhood and adolescence";"F94 Disord social w onset specific to childhood and adolescence"
"F95";"F95";"Tic disorder";"F95 Tic disorder"
"F98";"F98";"Oth behav/emotn disord w onset usly occur in chldhd and adol";"F98 Oth behav/emotn disord w onset usly occur in chldhd and adol"
"F99";"F99";"Mental disorder, not otherwise specified";"F99 Mental disorder, not otherwise specified"
"G00";"G00";"Bacterial meningitis, not elsewhere classified";"G00 Bacterial meningitis, not elsewhere classified"
"G01";"G01";"Meningitis in bacterial diseases classified elsewhere";"G01 Meningitis in bacterial diseases classified elsewhere"
"G02";"G02";"Meningitis in oth infec/parastc diseases classd elswhr";"G02 Meningitis in oth infec/parastc diseases classd elswhr"
"G03";"G03";"Meningitis due to other and unspecified causes";"G03 Meningitis due to other and unspecified causes"
"G04";"G04";"Encephalitis, myelitis and encephalomyelitis";"G04 Encephalitis, myelitis and encephalomyelitis"
"G05";"G05";"Encphlts, myelitis & encephalomyelitis in dis classd elswhr";"G05 Encphlts, myelitis & encephalomyelitis in dis classd elswhr"
"G06";"G06";"Intracranial and intraspinal abscess and granuloma";"G06 Intracranial and intraspinal abscess and granuloma"
"G07";"G07";"Intcrn & intraspinal abscs & granuloma in dis classd elswhr";"G07 Intcrn & intraspinal abscs & granuloma in dis classd elswhr"
"G08";"G08";"Intracranial and intraspinal phlebitis and thrombophlebitis";"G08 Intracranial and intraspinal phlebitis and thrombophlebitis"
"G09";"G09";"Sequelae of inflammatory diseases of central nervous system";"G09 Sequelae of inflammatory diseases of central nervous system"
"G10";"G10";"Huntington's disease";"G10 Huntington's disease"
"G11";"G11";"Hereditary ataxia";"G11 Hereditary ataxia"
"G12";"G12";"Spinal muscular atrophy and related syndromes";"G12 Spinal muscular atrophy and related syndromes"
"G13";"G13";"Systemic atrophies aff cnsl in diseases classd elswhr";"G13 Systemic atrophies aff cnsl in diseases classd elswhr"
"G14";"G14";"Postpolio syndrome";"G14 Postpolio syndrome"
"G20";"G20";"Parkinson's disease";"G20 Parkinson's disease"
"G21";"G21";"Secondary parkinsonism";"G21 Secondary parkinsonism"
